start,end
3877,3844
3132,3956
603,914
1094,2901
3411,1360
2436,2207
2482,74
2308,2474
2366,1609
791,2889
2615,505
2676,2121
1869,432
1927,1501
3677,2685
3658,689
358,1498
1156,1233
2514,1995
2554,1592
269,547
1622,929
3359,2439
270,2617
1556,880
4030,1601
1214,2962
2498,163
154,1975
1758,1393
3233,107
2716,1641
3484,2299
951,162
511,1197
1713,3785
1769,3414
3641,877
1898,3825
853,262
2357,552
3323,2088
2908,180
1567,3983
3029,790
1760,2209
988,1766
3290,2031
3255,2688
2559,3702
1599,3304
100,74
790,1597
180,551
6,846
3100,2038
3988,1436
2111,3677
1744,2357
2999,3217
3916,1522
1501,1080
3816,3308
3287,878
956,2704
590,1681
2747,3341
3772,1278
3779,3737
1343,933
176,3763
3602,3963
3316,2223
1084,1851
1392,1070
708,1161
957,1011
3166,3229
838,3516
3549,246
3785,3932
503,1468
2846,3884
2979,3198
3345,456
194,1636
609,1448
3667,1194
2686,1619
4009,3630
1582,3431
2784,2505
2857,2403
3701,627
3906,1531
3742,2680
3783,2464
1065,2042
3240,2557
818,325
1288,3269
502,1293
1569,1798
1588,1814
2840,270
2946,3134
35,85
895,63
2985,1674
3263,3452
3076,1470
4006,2467
3217,24
916,1701
2582,1086
2708,1909
2275,1560
2152,930
866,3627
2875,1902
2410,864
1102,1153
3169,1219
2601,2614
2148,2333
3304,1745
491,70
1547,60
3987,3759
3995,146
204,3783
1458,1539
1114,1573
374,1477
973,909
2771,1362
827,2384
2053,2603
2897,1829
1181,3658
2414,873
1334,712
656,1302
3843,726
1715,3049
2429,2956
2201,334
2153,1912
2185,548
3836,713
3021,2103
631,2211
1019,345
2571,3338
1695,794
2883,1418
3506,3569
3851,2275
1816,2004
3027,2756
2434,2090
2462,510
74,4002
1416,3966
1957,2280
3107,2425
3465,356
2102,1544
2277,1633
328,1351
2420,3538
841,3116
3954,859
1967,1171
1443,457
610,155
1483,1842
2713,867
2544,325
762,2533
3133,3426
2953,2477
2496,2392
3960,171
418,2780
3737,67
309,1816
3606,3280
3582,407
1644,1517
3873,189
3551,3519
2861,3122
3050,1510
1100,3038
918,2155
4035,2783
4034,2386
2985,998
3675,964
2917,3608
3042,3457
2167,1459
3348,3720
3965,1447
2689,2276
898,588
716,3192
1053,77
1999,3514
534,1071
1708,2133
3605,16
1575,426
3799,1560
813,3650
3207,3893
1486,635
1013,2238
2740,556
1685,1820
2898,2889
1029,2101
1559,429
329,1701
2069,2477
63,25
1550,2541
1601,185
1697,1660
1536,944
3954,2458
496,1407
657,2310
577,1690
2648,1881
3735,3679
3485,1755
313,3945
3165,927
3600,2156
2489,3872
3734,35
3566,1503
2421,3013
1208,1301
2673,3916
1090,290
2234,2153
1543,987
164,1514
3521,2257
62,1287
952,381
1213,1914
823,3320
2996,2084
129,1252
277,1686
99,2519
839,3160
3117,557
1592,3724
1836,3239
302,2
3484,3538
1727,1964
3113,758
3737,1704
313,1273
1952,797
3098,2780
3655,3324
3167,3648
414,3923
3015,3684
2727,209
228,987
3066,1076
1387,3133
311,1508
2908,1621
3749,2759
1560,1265
634,1867
1878,3201
1242,3135
788,2143
3456,3570
1086,1132
1688,2115
801,3258
1134,3424
2492,2825
2835,2548
173,2120
3692,3679
197,433
2576,527
1823,3700
3063,3077
2237,3138
734,2746
2220,2080
1630,3323
2839,2232
151,1203
2068,2615
2091,3823
2898,3280
1250,821
2332,2231
1944,3535
2606,1371
1471,2852
1841,2372
1704,3634
3905,3527
1303,1765
220,275
2824,1687
2906,39
979,3078
1148,2315
2057,422
1341,1208
3819,3963
2232,1394
2716,2486
1272,3706
531,543
637,323
1818,1549
3418,1544
2570,896
3614,118
3487,997
313,2541
148,2058
475,3693
2072,180
1482,1079
1,1993
2509,292
3724,3983
997,3784
3383,2139
2229,45
1004,1356
1867,1357
1345,2578
909,1207
1586,225
2314,1509
1733,2315
456,848
338,1254
738,2648
2184,731
570,3554
2616,3866
2328,818
3389,1975
3872,801
1794,4035
2121,3942
612,707
442,1577
3946,1791
2917,2519
493,2664
3624,2171
638,972
3809,843
1947,3588
1311,1845
1046,1383
2963,2856
2133,3359
3503,3819
2300,2490
4016,63
2775,3327
1638,1222
1461,3971
3746,3939
2271,1166
1666,211
2709,560
3790,3919
841,3344
3436,2787
2683,3274
2940,3175
2250,1762
3906,1677
56,2756
567,1106
680,3816
1213,2670
1432,477
1167,124
3553,984
2035,2010
341,872
3220,2178
1395,1383
3214,986
646,368
3067,2386
4036,675
2895,409
2532,659
1102,3078
210,2392
2168,1680
2225,83
3852,3395
2214,1173
41,1425
2141,1398
1498,331
1580,810
2577,2834
1449,470
2116,543
167,1627
1220,762
438,990
1768,1820
2207,235
1800,742
1516,2901
690,238
19,962
1589,629
3945,2418
349,763
2693,1715
58,569
2525,70
