from,to,type,weight@double
1,2,LINK,0.73
1,3,LINK,0.68
1,4,LINK,0.31
1,5,LINK,0.28
1,6,LINK,0.67
1,7,LINK,0.9
1,8,LINK,0.37
1,9,LINK,0.28
1,10,LINK,0.46
1,11,LINK,0.78
1,12,LINK,0.92
1,13,LINK,0.44
1,14,LINK,0.75
1,15,LINK,0.39
1,16,LINK,0.18
1,17,LINK,0.59
1,18,LINK,0.21
1,19,LINK,0.83
1,20,LINK,0.17
1,21,LINK,0.59
1,22,LINK,0.75
1,23,LINK,0.57
1,24,LINK,0.58
1,25,LINK,0.75
1,26,LINK,0.03
1,27,LINK,0.36
1,28,LINK,0.82
1,29,LINK,0.42
1,30,LINK,0.97
1,31,LINK,0.71
1,32,LINK,0.48
1,33,LINK,0.29
1,34,LINK,0.95
1,35,LINK,0.82
1,36,LINK,0.64
1,37,LINK,0.37
1,38,LINK,0.36
1,39,LINK,0.43
1,40,LINK,0.46
1,41,LINK,0.47
1,42,LINK,0.47
1,43,LINK,0.83
1,44,LINK,0.15
1,45,LINK,0.83
1,46,LINK,0.46
1,47,LINK,0.28
1,48,LINK,0.2
1,49,LINK,0.18
1,50,LINK,0.87
1,51,LINK,0.49
1,52,LINK,0.42
1,53,LINK,0.63
1,54,LINK,0.7
1,55,LINK,0.32
1,56,LINK,0.57
1,57,LINK,0.37
1,58,LINK,0.87
1,59,LINK,0.81
1,60,LINK,0.62
1,61,LINK,0.37
1,62,LINK,0.7
1,63,LINK,0.91
1,64,LINK,0.2
1,65,LINK,0.81
1,66,LINK,0.63
1,67,LINK,0.46
1,68,LINK,0.31
1,69,LINK,0.54
1,70,LINK,0.64
1,71,LINK,0.13
1,72,LINK,0.5
1,73,LINK,0.03
1,74,LINK,0.04
1,75,LINK,0.48
1,76,LINK,0.66
1,77,LINK,0.4
1,78,LINK,0.94
1,79,LINK,0.38
1,80,LINK,0.65
1,81,LINK,0.77
1,82,LINK,0.89
1,83,LINK,0.6
1,84,LINK,0.98
1,85,LINK,0.08
1,86,LINK,0.78
1,87,LINK,0.28
1,88,LINK,0.9
1,89,LINK,0.37
1,90,LINK,0.43
1,91,LINK,0.33
1,92,LINK,0.32
1,93,LINK,0.44
1,94,LINK,0.1
1,95,LINK,0.75
1,96,LINK,0.17
1,97,LINK,0.81
1,98,LINK,0.14
1,99,LINK,0.09
1,100,LINK,0.03
1,101,LINK,0.55
1,102,LINK,0.28
1,103,LINK,0.97
1,104,LINK,0.9
1,105,LINK,0.34
1,106,LINK,0.01
1,107,LINK,0.81
1,108,LINK,0.52
1,109,LINK,0.84
1,110,LINK,0.58
1,111,LINK,0.69
1,112,LINK,0.56
1,113,LINK,0.12
1,114,LINK,0.59
1,115,LINK,0.9
1,116,LINK,0.63
1,117,LINK,0.38
1,118,LINK,0.9
1,119,LINK,0.83
1,120,LINK,0.26
1,121,LINK,0.96
1,122,LINK,0.4
1,123,LINK,0.57
1,124,LINK,0.26
1,125,LINK,0.82
1,126,LINK,0.66
1,127,LINK,0.61
1,128,LINK,0.49
1,129,LINK,0.36
1,130,LINK,0.74
1,131,LINK,0.86
1,132,LINK,0.34
1,133,LINK,0.76
1,134,LINK,0.73
1,135,LINK,0.51
1,136,LINK,0.78
1,137,LINK,0.38
1,138,LINK,0.86
1,139,LINK,0.7
1,140,LINK,0.16
1,141,LINK,0.8
1,142,LINK,0.73
1,143,LINK,0.79
1,144,LINK,0.82
1,145,LINK,0.85
1,146,LINK,0.98
1,147,LINK,0.13
1,148,LINK,0.61
1,149,LINK,0.54
1,150,LINK,0.15
1,151,LINK,0.53
1,152,LINK,0.55
1,153,LINK,0.33
1,154,LINK,0.72
1,155,LINK,0.39
1,156,LINK,0.02
1,157,LINK,0.1
1,158,LINK,0.1
1,159,LINK,0.17
1,160,LINK,0.9
1,161,LINK,0.42
1,162,LINK,0.85
1,163,LINK,0.34
1,164,LINK,0.42
1,165,LINK,0.05
1,166,LINK,0.6
1,167,LINK,0.17
1,168,LINK,0.48
1,169,LINK,0.57
1,170,LINK,0.52
1,171,LINK,0.71
1,172,LINK,0.68
1,173,LINK,0.85
1,174,LINK,0.78
1,175,LINK,0.29
1,176,LINK,0.37
1,177,LINK,0.51
1,178,LINK,0.28
1,179,LINK,0.98
1,180,LINK,0.57
1,181,LINK,0.12
1,182,LINK,0.43
1,183,LINK,0.55
1,184,LINK,0.58
1,185,LINK,0.73
1,186,LINK,0.6
1,187,LINK,0.82
1,188,LINK,0.88
1,189,LINK,0.37
1,190,LINK,0.65
1,191,LINK,0.84
1,192,LINK,0.1
1,193,LINK,0.91
1,194,LINK,0.61
1,195,LINK,0.59
1,196,LINK,0.16
1,197,LINK,1
1,198,LINK,0.59
1,199,LINK,0.78
1,200,LINK,0.52
1,201,LINK,0.07
1,202,LINK,0.5
1,203,LINK,0.18
1,204,LINK,0.5
1,205,LINK,0.69
1,206,LINK,0.65
1,207,LINK,0.36
1,208,LINK,0.55
1,209,LINK,0.77
1,210,LINK,0.53
1,211,LINK,0.18
1,212,LINK,0.71
1,213,LINK,0.55
1,214,LINK,0.46
1,215,LINK,0.34
1,216,LINK,0.04
1,217,LINK,0.8
1,218,LINK,0.71
1,219,LINK,0.3
1,220,LINK,0.64
1,221,LINK,0.57
1,222,LINK,0.52
1,223,LINK,0.54
1,224,LINK,0.26
1,225,LINK,0.16
1,226,LINK,0.7
1,227,LINK,0.39
1,228,LINK,0.45
1,229,LINK,0.27
1,230,LINK,0.48
1,231,LINK,0.41
1,232,LINK,0.59
1,233,LINK,0.16
1,234,LINK,0.26
1,235,LINK,0.51
1,236,LINK,0.25
1,237,LINK,0.63
1,238,LINK,0.34
1,239,LINK,0.66
1,240,LINK,0.81
1,241,LINK,0.99
1,242,LINK,0.51
1,243,LINK,0.95
1,244,LINK,0.27
1,245,LINK,0.64
1,246,LINK,0.94
1,247,LINK,0.59
1,248,LINK,0.75
1,249,LINK,0.13
1,250,LINK,0.69
1,251,LINK,0.14
1,252,LINK,0.54
1,253,LINK,0.07
1,254,LINK,0.73
1,255,LINK,0.68
1,256,LINK,0.84
1,257,LINK,0.48
1,258,LINK,0.33
1,259,LINK,0.81
1,260,LINK,0.79
1,261,LINK,0.29
1,262,LINK,0.53
1,263,LINK,0.42
1,264,LINK,0.96
1,265,LINK,0.94
1,266,LINK,0.83
1,267,LINK,0.82
1,268,LINK,0.88
1,269,LINK,0.34
1,270,LINK,0.86
1,271,LINK,0.42
1,272,LINK,0.6
1,273,LINK,0.93
1,274,LINK,0.97
1,275,LINK,0.62
1,276,LINK,0.17
1,277,LINK,0.43
1,278,LINK,0.06
1,279,LINK,0.39
1,280,LINK,0.07
1,281,LINK,0.1
1,282,LINK,0.92
1,283,LINK,0.2
1,284,LINK,0.56
1,285,LINK,0.56
1,286,LINK,0.08
1,287,LINK,0.42
1,288,LINK,0.56
1,289,LINK,0.1
1,290,LINK,0.61
1,291,LINK,0.92
1,292,LINK,0.03
1,293,LINK,0.18
1,294,LINK,1
1,295,LINK,0.74
1,296,LINK,0.06
1,297,LINK,0.32
1,298,LINK,0.63
1,299,LINK,0.73
1,300,LINK,0.03
1,301,LINK,0.81
1,302,LINK,0.38
1,303,LINK,0.85
1,304,LINK,0.51
1,305,LINK,0.81
1,306,LINK,0.99
1,307,LINK,0.55
1,308,LINK,0.01
1,309,LINK,0.16
1,310,LINK,0.14
1,311,LINK,0.67
1,312,LINK,0.69
1,313,LINK,0.92
1,314,LINK,0.41
1,315,LINK,0.88
1,316,LINK,0.93
1,317,LINK,0.14
1,318,LINK,0.45
1,319,LINK,0.15
1,320,LINK,0.74
1,321,LINK,0.27
1,322,LINK,0.03
1,323,LINK,0.88
1,324,LINK,0.53
1,325,LINK,0.89
1,326,LINK,0.02
1,327,LINK,0.46
1,328,LINK,0.31
1,329,LINK,0.16
1,330,LINK,0.63
1,331,LINK,0.46
1,332,LINK,0.68
1,333,LINK,0.57
1,334,LINK,0.62
1,335,LINK,0.71
1,336,LINK,0.71
1,337,LINK,0.52
1,338,LINK,0.69
1,339,LINK,0.25
1,340,LINK,0.2
1,341,LINK,0.59
1,342,LINK,0.62
1,343,LINK,0.88
1,344,LINK,0.55
1,345,LINK,0.98
1,346,LINK,0.14
1,347,LINK,0.33
1,348,LINK,0.85
2,49,LINK,0.66
2,54,LINK,0.3
2,55,LINK,0.23
2,74,LINK,0.79
2,89,LINK,0.65
2,93,LINK,0.32
2,120,LINK,0.17
2,127,LINK,0.39
2,134,LINK,0.65
2,195,LINK,0.67
2,237,LINK,0.6
2,281,LINK,0.22
2,300,LINK,0.75
2,316,LINK,0.66
2,323,LINK,0.2
2,347,LINK,0.01
3,21,LINK,0.19
3,116,LINK,0.44
3,117,LINK,0.21
3,150,LINK,0.56
3,227,LINK,0.14
3,313,LINK,0.16
3,327,LINK,0.8
3,334,LINK,0.43
3,344,LINK,0.56
4,10,LINK,0.29
4,26,LINK,0.9
4,27,LINK,0.06
4,68,LINK,0.4
4,73,LINK,0.48
4,86,LINK,0.89
4,123,LINK,0.49
4,143,LINK,0.33
4,171,LINK,0.41
4,189,LINK,0
4,201,LINK,0.04
4,229,LINK,0.95
4,275,LINK,0.44
4,281,LINK,0.15
4,284,LINK,0.04
4,324,LINK,0.59
5,79,LINK,0.28
5,153,LINK,0.22
5,182,LINK,0.74
5,196,LINK,0.51
5,219,LINK,0.06
5,274,LINK,0.64
5,276,LINK,0.51
5,307,LINK,0.98
5,329,LINK,0.83
6,88,LINK,0.11
6,123,LINK,0.59
6,157,LINK,0.74
6,159,LINK,0.57
6,170,LINK,0.52
6,181,LINK,0.34
6,188,LINK,0.76
6,205,LINK,0.67
6,214,LINK,0.24
6,236,LINK,0.62
6,316,LINK,0.87
6,317,LINK,0.94
7,90,LINK,0.84
7,96,LINK,0.27
7,148,LINK,0.57
7,220,LINK,0.96
7,320,LINK,0.01
8,23,LINK,0.73
8,32,LINK,0.82
8,39,LINK,0.91
8,66,LINK,0.78
8,88,LINK,0.09
8,104,LINK,0.7
8,130,LINK,0.01
8,137,LINK,0.66
8,169,LINK,0.87
8,214,LINK,0.92
8,247,LINK,0.53
8,292,LINK,0.86
8,305,LINK,0.39
8,309,LINK,0.01
8,316,LINK,0.96
8,323,LINK,0.12
8,340,LINK,0.57
8,341,LINK,0.32
8,348,LINK,0.68
9,92,LINK,0.81
9,111,LINK,0.49
9,194,LINK,0.76
9,202,LINK,0.8
9,246,LINK,0.5
9,260,LINK,0.28
9,265,LINK,0.71
10,22,LINK,0.18
10,26,LINK,0.31
10,27,LINK,0.34
10,31,LINK,0.12
10,57,LINK,0.73
10,67,LINK,0.49
10,68,LINK,0.28
10,70,LINK,0.96
10,73,LINK,0.38
10,76,LINK,0.72
10,80,LINK,0.32
10,86,LINK,0.97
10,106,LINK,0.73
10,114,LINK,0.15
10,120,LINK,0.46
10,123,LINK,0.72
10,129,LINK,0.23
10,134,LINK,0.38
10,135,LINK,0.19
10,142,LINK,0.27
10,143,LINK,0.61
10,149,LINK,0.48
10,157,LINK,1
10,162,LINK,0.13
10,170,LINK,0.44
10,171,LINK,0.36
10,177,LINK,0.51
10,186,LINK,0.31
10,187,LINK,0.11
10,189,LINK,0.97
10,200,LINK,0.73
10,201,LINK,0.2
10,204,LINK,0.22
10,225,LINK,0.56
10,232,LINK,0.35
10,233,LINK,0.39
10,253,LINK,0.67
10,259,LINK,0.16
10,272,LINK,0.89
10,273,LINK,0.53
10,277,LINK,0.37
10,278,LINK,0.54
10,281,LINK,0.08
10,286,LINK,0.8
10,292,LINK,0.03
10,296,LINK,0.58
10,298,LINK,0.36
10,305,LINK,0.36
10,316,LINK,0.14
10,323,LINK,0.53
10,324,LINK,0.65
10,330,LINK,0.23
10,335,LINK,0.83
10,342,LINK,0.83
10,343,LINK,0.69
11,68,LINK,0.14
11,143,LINK,0.98
11,170,LINK,0.52
11,201,LINK,0.57
11,278,LINK,0.9
11,286,LINK,0.7
11,292,LINK,0.65
11,324,LINK,0.54
11,333,LINK,0.13
14,22,LINK,0.9
14,27,LINK,0.38
14,57,LINK,0.41
14,60,LINK,0.06
14,66,LINK,0.62
14,68,LINK,0.15
14,83,LINK,0.26
14,99,LINK,0.76
14,110,LINK,0.35
14,119,LINK,0.27
14,120,LINK,0.77
14,149,LINK,0.7
14,173,LINK,0.59
14,189,LINK,0.57
14,200,LINK,0.72
14,212,LINK,0.7
14,224,LINK,0.7
14,237,LINK,0.99
14,239,LINK,0.84
14,240,LINK,0.5
14,253,LINK,0.78
14,262,LINK,0.37
14,266,LINK,0.73
14,272,LINK,0.82
14,278,LINK,0.71
14,305,LINK,0.95
14,314,LINK,0.03
14,326,LINK,0.5
14,333,LINK,0.74
14,343,LINK,0.38
15,21,LINK,0.61
15,29,LINK,0.65
15,42,LINK,0.69
15,116,LINK,0.82
15,117,LINK,0.39
15,145,LINK,0.92
15,150,LINK,0.38
15,152,LINK,0.28
15,215,LINK,0.64
15,227,LINK,0.86
15,311,LINK,0.06
15,313,LINK,0.18
15,327,LINK,0.72
15,344,LINK,0.14
17,30,LINK,0.78
17,83,LINK,0.77
17,119,LINK,0.61
17,173,LINK,0.93
17,262,LINK,0.62
17,330,LINK,0.69
17,332,LINK,0.53
17,333,LINK,0.84
18,20,LINK,0.93
18,42,LINK,0.18
18,112,LINK,0.63
18,116,LINK,0.15
18,117,LINK,0.8
